Fold,Epoch,Validation Accuracy,Model,Validation Positive Parity,Training Accuracy,Validation Accuracy Parity,Validation Counterfactual Invariance,Validation Recall Parity,Validation TNR Parity
0,0,0.715,Pareto,0.0,0.69625,0.1088571765538388,1.0,0.0,0.0
0,1,0.745,Pareto,0.0,0.68875,0.0044413277232351,1.0,0.0,0.0
0,2,0.655,Pareto,0.0,0.71125,0.0586894586894586,1.0,0.0,0.0
0,3,0.69,Pareto,0.0,0.7025,0.2071596902704522,1.0,0.0,0.0
0,4,0.695,Pareto,0.0,0.70125,0.0194357366771159,1.0,0.0,0.0
0,0,0.75,Regularized_Selection_0.2,1.4143583945732052,1.0,0.0648661398749852,0.965,1.09375,0.0428571428571428
0,1,0.81,Regularized_Selection_0.2,1.318996415770609,1.0,0.005142589995325,0.94,1.215277777777778,0.1107142857142857
0,2,0.71,Regularized_Selection_0.2,3.3230769230769237,1.0,0.0034188034188034,0.95,2.4640000000000004,0.1663636363636363
0,3,0.78,Regularized_Selection_0.2,1.985074626865672,1.0,0.0507238244865895,0.965,1.3948717948717948,0.1604166666666666
0,4,0.75,Regularized_Selection_0.2,1.185344827586207,1.0,0.0062695924764889,0.945,1.208888888888889,0.0652777777777777
0,0,0.745,Regularized_Selection_0.5,1.0971463266545232,1.0,0.0340842080434012,0.94,1.0227272727272727,0.009090909090909
0,1,0.78,Regularized_Selection_0.5,1.1129032258064515,1.0,0.0317905563347358,0.935,1.0448979591836731,0.0196428571428571
0,2,0.725,Regularized_Selection_0.5,3.8571428571428577,1.0,0.0427350427350426,0.95,3.226666666666667,0.3036363636363636
0,3,0.74,Regularized_Selection_0.5,1.4436906377204886,1.0,0.0579059589271686,0.975,1.2606060606060607,0.0895833333333333
0,4,0.75,Regularized_Selection_0.5,1.428030303030303,1.0,0.0815047021943573,0.925,1.0666666666666669,0.025
0,0,0.795,Regularized_Selection_0.7,1.1849180327868851,1.0,0.0588512796320321,0.965,1.0685714285714285,0.0311688311688311
0,1,0.8,Regularized_Selection_0.7,1.061923583662714,1.0,0.0327255726975223,0.97,1.09375,0.0428571428571428
0,2,0.715,Regularized_Selection_0.7,2.076923076923077,1.0,0.0108262108262108,0.955,1.76,0.1381818181818181
0,3,0.77,Regularized_Selection_0.7,1.6542288557213929,1.0,0.0581304006284367,0.97,1.219047619047619,0.0958333333333333
0,4,0.75,Regularized_Selection_0.7,1.2083333333333337,1.0,0.018808777429467,0.96,1.23046875,0.0819444444444444
0,0,0.715,Decoupled_Classifier_0.2,0.0,0.69625,0.1088571765538388,1.0,0.0,0.0
0,1,0.47,Decoupled_Classifier_0.2,1.210547504025765,0.47625,0.0668536699392239,0.98,1.1636363636363638,0.1125
0,2,0.655,Decoupled_Classifier_0.2,2.076923076923077,0.715,0.0358974358974358,1.0,1.0,0.04
0,3,0.69,Decoupled_Classifier_0.2,0.0,0.7025,0.2071596902704522,1.0,0.0,0.0
0,4,0.395,Decoupled_Classifier_0.2,1.055472263868066,0.385,0.031974921630094,0.97,1.0044642857142856,0.0041666666666666
0,0,0.685,Decoupled_Classifier_0.5,1.3672131147540985,0.69875,0.0421040217006722,1.0,1.25,0.0999999999999999
0,1,0.605,Decoupled_Classifier_0.5,1.140468227424749,0.60375,0.1049555867227676,0.985,1.1458333333333337,0.0875
0,2,0.655,Decoupled_Classifier_0.5,0.0,0.71125,0.0586894586894586,1.0,0.0,0.0
0,3,0.69,Decoupled_Classifier_0.5,1.985074626865672,0.70875,0.2296038603972617,1.0,1.0,0.03125
0,4,0.7,Decoupled_Classifier_0.5,1.0,0.7025,0.0125391849529781,0.995,1.0,0.0666666666666666
0,0,0.285,Decoupled_Classifier_0.7,1.0,0.30375,0.1088571765538389,1.0,1.0,0.0
0,1,0.615,Decoupled_Classifier_0.7,1.7734553775743709,0.60125,0.1605890603085554,0.895,1.2698412698412698,0.1517857142857143
0,2,0.655,Decoupled_Classifier_0.7,0.0,0.7125,0.0586894586894586,1.0,0.0,0.0
0,3,0.595,Decoupled_Classifier_0.7,1.3853383458646618,0.6425,0.1091908876669285,0.975,1.5,0.0833333333333333
0,4,0.425,Decoupled_Classifier_0.7,1.0389805097451277,0.43375,0.0094043887147335,0.99,1.0429629629629629,0.0402777777777777
0,0,0.76,RandomForestClassifier_0,1.5851746258018533,1.0,0.0792546290836183,0.965,1.1363636363636362,0.0545454545454545
0,1,0.775,RandomForestClassifier_0,1.0210803689064558,1.0,0.0689574567554932,0.955,1.346153846153846,0.1285714285714285
0,2,0.72,RandomForestClassifier_0,1.8692307692307693,1.0,0.0045584045584045,0.96,1.76,0.1381818181818181
0,3,0.745,RandomForestClassifier_0,1.8747927031509124,0.99875,0.0878689260464594,0.96,1.3866666666666667,0.1208333333333333
0,4,0.745,RandomForestClassifier_0,1.3181818181818183,1.0,0.0006269592476488,0.935,1.2053571428571428,0.0638888888888888
0,0,0.745,RPT_RandomForestClassifier_0,1.139344262295082,1.0,0.0104965208161339,0.95,1.1363636363636362,0.0545454545454545
0,1,0.785,RPT_RandomForestClassifier_0,1.1129032258064515,1.0,0.0156615240766713,0.96,1.0294117647058825,0.0142857142857142
0,2,0.73,RPT_RandomForestClassifier_0,2.2366863905325447,1.0,0.0581196581196581,0.935,2.3466666666666662,0.2754545454545454
0,3,0.745,RPT_RandomForestClassifier_0,1.4292537313432836,1.0,0.0654247559196498,0.94,1.1487179487179486,0.0604166666666666
0,4,0.76,RPT_RandomForestClassifier_0,1.4123376623376622,1.0,0.0050156739811912,0.915,1.332236842105263,0.1402777777777777
0,0,0.785,Massage_RandomForestClassifier_0,1.2429210134128168,0.96,0.0208751031961316,0.965,1.1363636363636362,0.0545454545454545
0,1,0.745,Massage_RandomForestClassifier_0,1.1129032258064515,0.935,0.0044413277232351,0.955,1.09375,0.0374999999999999
0,2,0.725,Massage_RandomForestClassifier_0,2.5384615384615388,0.94375,0.0883190883190883,0.945,3.226666666666667,0.3036363636363636
0,3,0.73,Massage_RandomForestClassifier_0,1.8124594419208309,0.97375,0.0653125350690158,0.96,1.4545454545454546,0.15625
0,4,0.75,Massage_RandomForestClassifier_0,1.1462450592885376,0.935,0.0062695924764889,0.965,1.0546875,0.0194444444444444
0,0,0.775,RandomForestClassifier_1,1.051702395964691,1.0,0.0536619884420331,0.97,1.1174603174603173,0.048051948051948
0,1,0.8,RandomForestClassifier_1,1.033410138248848,1.0,0.0327255726975223,0.96,1.1580882352941178,0.0767857142857142
0,2,0.725,RandomForestClassifier_1,2.076923076923077,1.0,0.0199430199430199,0.945,1.98,0.1781818181818181
0,3,0.735,RandomForestClassifier_1,1.890547263681592,1.0,0.0952755021883065,0.955,1.3575757575757577,0.1229166666666666
0,4,0.765,RandomForestClassifier_1,1.0984848484848486,1.0,0.0231974921630094,0.93,1.1580882352941178,0.0597222222222222
0,0,0.74,RPT_RandomForestClassifier_1,1.220725995316159,1.0,0.0268899634390847,0.95,1.1363636363636362,0.0545454545454545
0,1,0.78,RPT_RandomForestClassifier_1,1.1606280193236715,1.0,0.0383356708742402,0.955,1.0294117647058825,0.0142857142857142
0,2,0.72,RPT_RandomForestClassifier_1,2.284615384615385,1.0,0.0501424501424501,0.95,2.5142857142857147,0.2409090909090909
0,3,0.73,RPT_RandomForestClassifier_1,1.6796785304247992,1.0,0.0428683649422062,0.96,1.4222222222222225,0.1583333333333333
0,4,0.765,RPT_RandomForestClassifier_1,1.2303030303030302,1.0,0.0231974921630094,0.94,1.265625,0.1180555555555555
0,0,0.76,Massage_RandomForestClassifier_1,1.220725995316159,0.955,0.055666941856351,0.965,1.0057142857142858,0.0025974025974025
0,1,0.76,Massage_RandomForestClassifier_1,1.017511520737327,0.935,0.0673211781206171,0.94,1.286764705882353,0.1392857142857143
0,2,0.725,Massage_RandomForestClassifier_1,2.0769230769230766,0.94875,0.0427350427350426,0.955,2.2,0.2181818181818182
0,3,0.76,Massage_RandomForestClassifier_1,1.6069651741293534,0.97375,0.0655369767702839,0.965,1.2444444444444445,0.0916666666666666
0,4,0.745,Massage_RandomForestClassifier_1,1.2693602693602692,0.94,0.0244514106583071,0.93,1.09375,0.0374999999999999
0,0,0.775,RandomForestClassifier_2,1.3292349726775956,1.0,0.1008373628965679,0.95,1.1174603174603173,0.048051948051948
0,1,0.795,RandomForestClassifier_2,1.1985111662531016,1.0,0.0165965404394576,0.93,1.23046875,0.1053571428571428
0,2,0.72,RandomForestClassifier_2,3.375,1.0,0.0501424501424501,0.95,3.226666666666667,0.3036363636363636
0,3,0.745,RandomForestClassifier_2,1.72615184944841,1.0,0.0205364156660307,0.96,1.5515151515151515,0.1895833333333333
0,4,0.78,RandomForestClassifier_2,1.428030303030303,1.0,0.0225705329153604,0.93,1.1842105263157894,0.0777777777777777
0,0,0.77,RPT_RandomForestClassifier_2,1.1393442622950818,1.0,0.0228800566104494,0.96,1.0606060606060606,0.0259740259740259
0,1,0.8,RPT_RandomForestClassifier_2,1.0791788856304985,1.0,0.0093501636278634,0.945,1.09375,0.0535714285714286
0,2,0.72,RPT_RandomForestClassifier_2,2.7,1.0,0.0501424501424501,0.955,2.7657142857142856,0.2809090909090909
0,3,0.755,RPT_RandomForestClassifier_2,2.084328358208956,1.0,0.0580181797778027,0.96,1.5515151515151515,0.1895833333333333
0,4,0.76,RPT_RandomForestClassifier_2,1.375494071146245,1.0,0.0200626959247648,0.915,1.1580882352941178,0.0597222222222222
0,0,0.745,Massage_RandomForestClassifier_2,1.178631995477671,0.955,0.081259582497936,0.975,1.1174603174603173,0.048051948051948
0,1,0.805,Massage_RandomForestClassifier_2,1.0022296544035674,0.94,0.025479195885928,0.955,1.09375,0.0482142857142857
0,2,0.735,Massage_RandomForestClassifier_2,1.7307692307692308,0.95125,0.0507122507122507,0.96,1.9555555555555555,0.1954545454545454
0,3,0.785,Massage_RandomForestClassifier_2,2.0953565505804312,0.97375,0.0133542812254516,0.95,1.6484848484848484,0.2229166666666666
0,4,0.755,Massage_RandomForestClassifier_2,1.12987012987013,0.94125,0.0131661442006268,0.99,1.0361842105263157,0.0152777777777777
0,0,0.775,XGBClassifier_3,1.5665983606557377,0.99875,0.0536619884420331,0.965,1.1722488038277512,0.0935064935064935
0,1,0.78,XGBClassifier_3,1.1873706004140787,0.9975,0.0850864890135577,0.98,1.1513157894736843,0.0821428571428571
0,2,0.735,XGBClassifier_3,1.8325791855203624,1.0,0.0176638176638176,0.935,1.4892307692307691,0.1445454545454545
0,3,0.72,XGBClassifier_3,1.720398009950249,0.99875,0.0727191112108629,0.97,1.2952380952380953,0.1291666666666666
0,4,0.775,XGBClassifier_3,1.1055718475073313,0.99875,0.0658307210031348,0.98,1.168253968253968,0.073611111111111
0,0,0.765,RPT_XGBClassifier_3,1.2370023419203748,1.0,0.0628611864606675,0.97,1.0476190476190477,0.0259740259740259
0,1,0.795,RPT_XGBClassifier_3,1.592885375494071,0.9975,0.0867227676484339,0.94,1.0666666666666669,0.0374999999999999
0,2,0.735,RPT_XGBClassifier_3,1.8325791855203624,1.0,0.0176638176638176,0.935,1.4892307692307691,0.1445454545454545
0,3,0.71,RPT_XGBClassifier_3,1.3334807607253427,0.995,0.0352373470990909,0.825,1.4423076923076923,0.1916666666666666
0,4,0.765,RPT_XGBClassifier_3,2.9586206896551723,0.99625,0.0520376175548589,0.9,3.081481481481481,0.3902777777777777
0,0,0.72,Massage_XGBClassifier_3,1.3021077283372364,0.95375,0.0688760467036206,0.96,1.0294117647058825,0.0142857142857142
0,1,0.725,Massage_XGBClassifier_3,1.08110599078341,0.93,0.0479195885928003,0.91,1.3125,0.1339285714285714
0,2,0.735,Massage_XGBClassifier_3,1.6813186813186811,0.9475,0.0279202279202278,0.95,1.6342857142857143,0.2018181818181818
0,3,0.775,Massage_XGBClassifier_3,2.06142365097589,0.9725,0.1329817080013466,0.97,1.1294117647058823,0.0687499999999999
0,4,0.76,Massage_XGBClassifier_3,1.2413793103448274,0.93625,0.0451410658307209,0.925,1.4222222222222225,0.1583333333333333
0,0,0.785,XGBClassifier_4,1.5881768504719325,1.0,0.044462790423399,0.955,1.193181818181818,0.1103896103896103
0,1,0.775,XGBClassifier_4,1.2194616977225674,1.0,0.0923328658251519,0.955,1.1513157894736843,0.0821428571428571
0,2,0.715,XGBClassifier_4,2.076923076923077,1.0,0.0119658119658119,0.945,1.92,0.2299999999999999
0,3,0.73,XGBClassifier_4,1.3835368611488017,1.0,0.0204241948153967,0.96,1.208888888888889,0.0979166666666666
0,4,0.78,XGBClassifier_4,1.1424242424242423,1.0,0.0727272727272727,0.945,1.168253968253968,0.073611111111111
0,0,0.785,RPT_XGBClassifier_4,1.5881768504719325,1.0,0.044462790423399,0.955,1.193181818181818,0.1103896103896103
0,1,0.775,RPT_XGBClassifier_4,1.2194616977225674,1.0,0.0923328658251519,0.955,1.1513157894736843,0.0821428571428571
0,2,0.715,RPT_XGBClassifier_4,2.076923076923077,1.0,0.0119658119658119,0.945,1.92,0.2299999999999999
0,3,0.73,RPT_XGBClassifier_4,1.3835368611488017,1.0,0.0204241948153967,0.96,1.208888888888889,0.0979166666666666
0,4,0.78,RPT_XGBClassifier_4,1.1424242424242423,1.0,0.0727272727272727,0.945,1.168253968253968,0.073611111111111
0,0,0.73,Massage_XGBClassifier_4,1.1115553778488605,0.95625,0.036089161457719,0.94,1.0476190476190477,0.0259740259740259
0,1,0.745,Massage_XGBClassifier_4,1.3478260869565215,0.94625,0.0890603085553997,0.93,1.0057142857142858,0.0035714285714285
0,2,0.75,Massage_XGBClassifier_4,1.3846153846153846,0.95,0.0284900284900285,0.96,1.408,0.1390909090909091
0,3,0.75,Massage_XGBClassifier_4,1.985074626865672,0.9725,0.1178318931657501,0.915,1.208888888888889,0.0979166666666666
0,4,0.75,Massage_XGBClassifier_4,1.0205278592375366,0.9375,0.0564263322884012,0.93,1.2444444444444445,0.0916666666666666
0,0,0.77,XGBClassifier_5,1.4558287795992713,1.0,0.0228800566104494,0.965,1.193181818181818,0.1103896103896103
0,1,0.745,XGBClassifier_5,1.1231884057971016,1.0,0.0890603085553997,0.97,1.215277777777778,0.1107142857142857
0,2,0.71,XGBClassifier_5,1.9471153846153848,1.0,0.0193732193732193,0.95,1.936,0.2127272727272727
0,3,0.735,XGBClassifier_5,1.550839552238806,1.0,0.072831332061497,0.955,1.1333333333333333,0.0666666666666666
0,4,0.76,XGBClassifier_5,1.3607038123167154,1.0,0.0702194357366771,0.98,1.0227272727272727,0.0111111111111111
0,0,0.77,RPT_XGBClassifier_5,1.4558287795992713,1.0,0.0228800566104494,0.965,1.193181818181818,0.1103896103896103
0,1,0.745,RPT_XGBClassifier_5,1.1231884057971016,1.0,0.0890603085553997,0.97,1.215277777777778,0.1107142857142857
0,2,0.71,RPT_XGBClassifier_5,1.9471153846153848,1.0,0.0193732193732193,0.95,1.936,0.2127272727272727
0,3,0.735,RPT_XGBClassifier_5,1.550839552238806,1.0,0.072831332061497,0.955,1.1333333333333333,0.0666666666666666
0,4,0.76,RPT_XGBClassifier_5,1.3607038123167154,1.0,0.0702194357366771,0.98,1.0227272727272727,0.0111111111111111
0,0,0.765,Massage_XGBClassifier_5,1.416482055826318,0.955,0.0156858120061328,0.955,1.193181818181818,0.1103896103896103
0,1,0.73,Massage_XGBClassifier_5,1.3197463768115942,0.94125,0.0640486208508648,0.945,1.0666666666666669,0.0374999999999999
0,2,0.73,Massage_XGBClassifier_5,1.1630769230769231,0.9475,0.0581196581196581,0.955,1.408,0.1390909090909091
0,3,0.785,Massage_XGBClassifier_5,1.6649012999518538,0.97375,0.1255751318594994,0.94,1.0416666666666667,0.025
0,4,0.725,Massage_XGBClassifier_5,1.318181818181818,0.93625,0.0721003134796238,0.95,1.0158730158730158,0.0069444444444444
0,0,0.715,GaussianNB_6,1.4606977721731822,0.7575,0.0380941148720368,0.94,1.2373737373737377,0.1220779220779221
0,1,0.755,GaussianNB_6,1.061923583662714,0.7425,0.0278167367928938,0.94,1.0096153846153846,0.0071428571428571
0,2,0.71,GaussianNB_6,1.4323607427055702,0.74625,0.0421652421652422,0.915,1.54,0.1963636363636364
0,3,0.68,GaussianNB_6,1.0917910447761194,0.75875,0.0574570755246325,0.98,1.0714285714285714,0.0333333333333333
0,4,0.735,GaussianNB_6,1.12987012987013,0.73875,0.0357366771159874,0.95,1.0546875,0.0388888888888888
0,0,0.725,RPT_GaussianNB_6,1.2532786885245903,0.74375,0.0288949168534025,1.0,1.088516746411483,0.0480519480519481
0,1,0.72,RPT_GaussianNB_6,1.32536231884058,0.715,0.0785413744740533,0.97,1.0805194805194809,0.0553571428571428
0,2,0.725,RPT_GaussianNB_6,1.7307692307692308,0.75125,0.0199430199430199,0.875,1.642666666666667,0.2190909090909091
0,3,0.685,RPT_GaussianNB_6,1.0327067669172934,0.74375,0.0649758725171136,0.985,1.2259615384615383,0.0979166666666666
0,4,0.715,RPT_GaussianNB_6,1.177858439201452,0.71875,0.1335423197492162,0.975,1.7269841269841268,0.3180555555555555
0,0,0.705,Massage_GaussianNB_6,1.3464977645305514,0.74625,0.047293312890671,0.96,1.1136363636363638,0.0649350649350649
0,1,0.74,Massage_GaussianNB_6,1.082345191040843,0.725,0.0028050490883591,0.96,1.0805194805194809,0.0553571428571428
0,2,0.715,Massage_GaussianNB_6,1.5976331360946747,0.73375,0.0347578347578347,0.9,1.642666666666667,0.2190909090909091
0,3,0.695,Massage_GaussianNB_6,1.2406716417910448,0.7475,0.0575692963752665,0.94,1.003921568627451,0.0020833333333333
0,4,0.74,Massage_GaussianNB_6,1.2205387205387204,0.7225,0.0677115987460814,0.92,1.0546875,0.0388888888888888
0,0,0.41,MLPClassifier_7,1.0804126625211985,0.40375,0.0233518103549946,0.95,1.0176870748299318,0.0168831168831168
0,1,0.755,MLPClassifier_7,1.15527950310559,0.73875,0.0745675549322112,0.995,1.1580882352941178,0.0767857142857142
0,2,0.655,MLPClassifier_7,0.0,0.71125,0.0586894586894586,1.0,0.0,0.0
0,3,0.69,MLPClassifier_7,0.0,0.7025,0.2071596902704522,1.0,0.0,0.0
0,4,0.695,MLPClassifier_7,0.0,0.70125,0.0194357366771159,0.995,0.0,0.0
0,0,0.715,RPT_MLPClassifier_7,0.0,0.69625,0.1088571765538388,1.0,0.0,0.0
0,1,0.75,RPT_MLPClassifier_7,3.3387096774193545,0.705,0.0584385226741467,0.975,1.0,0.1875
0,2,0.65,RPT_MLPClassifier_7,1.0,0.71375,0.0512820512820512,0.995,0.0,0.0
0,3,0.695,RPT_MLPClassifier_7,1.0,0.71375,0.2146784872629333,0.985,1.0,0.0625
0,4,0.745,RPT_MLPClassifier_7,2.2758620689655173,0.7225,0.0006269592476488,0.92,1.9555555555555555,0.2388888888888888
0,0,0.535,Massage_MLPClassifier_7,1.025409836065574,0.5275,0.0557848802924872,0.96,1.0606060606060606,0.0415584415584415
0,1,0.39,Massage_MLPClassifier_7,1.0635906536527655,0.405,0.0191678354371201,0.995,1.0775510204081633,0.0678571428571428
0,2,0.655,Massage_MLPClassifier_7,0.0,0.71125,0.0586894586894586,1.0,0.0,0.0
0,3,0.555,Massage_MLPClassifier_7,1.0991114149008885,0.63625,0.0631803389069688,0.99,1.09375,0.05625
0,4,0.695,Massage_MLPClassifier_7,0.0,0.70125,0.0194357366771159,1.0,0.0,0.0
0,0,0.49,MLPClassifier_8,1.051702395964691,0.435,0.0733577072768015,0.99,1.1013986013986017,0.0753246753246753
0,1,0.745,MLPClassifier_8,0.0,0.68875,0.0044413277232351,1.0,0.0,0.0
0,2,0.46,MLPClassifier_8,1.044917257683215,0.41625,0.0706552706552706,0.99,1.0057142857142858,0.0045454545454546
0,3,0.69,MLPClassifier_8,0.0,0.7025,0.2071596902704522,1.0,0.0,0.0
0,4,0.695,MLPClassifier_8,0.0,0.70125,0.0194357366771159,1.0,0.0,0.0
0,0,0.595,RPT_MLPClassifier_8,1.3192407247627267,0.55375,0.0541337421865786,0.88,1.1722488038277512,0.0935064935064935
0,1,0.745,RPT_MLPClassifier_8,0.0,0.68875,0.0044413277232351,1.0,0.0,0.0
0,2,0.655,RPT_MLPClassifier_8,0.0,0.71125,0.0586894586894586,1.0,0.0,0.0
0,3,0.41,RPT_MLPClassifier_8,1.4797932330827066,0.49,0.0792279205476377,0.85,1.5865384615384617,0.2541666666666666
0,4,0.72,RPT_MLPClassifier_8,2.4655172413793105,0.71375,0.0150470219435736,0.985,3.2,0.1375
0,0,0.715,Massage_MLPClassifier_8,0.0,0.69625,0.1088571765538388,1.0,0.0,0.0
0,1,0.745,Massage_MLPClassifier_8,0.0,0.68875,0.0044413277232351,1.0,0.0,0.0
0,2,0.655,Massage_MLPClassifier_8,0.0,0.71125,0.0586894586894586,1.0,0.0,0.0
