,Fold,Epoch,Training Accuracy,Model
0,0,0,0.69625,Pareto
1,0,1,0.68875,Pareto
2,0,2,0.71125,Pareto
3,0,3,0.7025,Pareto
4,0,4,0.70125,Pareto
5,0,0,1.0,Regularized_Selection_0.2
6,0,1,1.0,Regularized_Selection_0.2
7,0,2,1.0,Regularized_Selection_0.2
8,0,3,1.0,Regularized_Selection_0.2
9,0,4,1.0,Regularized_Selection_0.2
10,0,0,1.0,Regularized_Selection_0.5
11,0,1,1.0,Regularized_Selection_0.5
12,0,2,1.0,Regularized_Selection_0.5
13,0,3,1.0,Regularized_Selection_0.5
14,0,4,1.0,Regularized_Selection_0.5
15,0,0,1.0,Regularized_Selection_0.7
16,0,1,1.0,Regularized_Selection_0.7
17,0,2,1.0,Regularized_Selection_0.7
18,0,3,1.0,Regularized_Selection_0.7
19,0,4,1.0,Regularized_Selection_0.7
20,0,0,0.69625,Decoupled_Classifier_0.2
21,0,1,0.47625,Decoupled_Classifier_0.2
22,0,2,0.715,Decoupled_Classifier_0.2
23,0,3,0.7025,Decoupled_Classifier_0.2
24,0,4,0.385,Decoupled_Classifier_0.2
25,0,0,0.69875,Decoupled_Classifier_0.5
26,0,1,0.60375,Decoupled_Classifier_0.5
27,0,2,0.71125,Decoupled_Classifier_0.5
28,0,3,0.70875,Decoupled_Classifier_0.5
29,0,4,0.7025,Decoupled_Classifier_0.5
30,0,0,0.30375,Decoupled_Classifier_0.7
31,0,1,0.60125,Decoupled_Classifier_0.7
32,0,2,0.7125,Decoupled_Classifier_0.7
33,0,3,0.6425,Decoupled_Classifier_0.7
34,0,4,0.43375,Decoupled_Classifier_0.7
35,0,0,1.0,RandomForestClassifier_0
36,0,1,1.0,RandomForestClassifier_0
37,0,2,1.0,RandomForestClassifier_0
38,0,3,0.99875,RandomForestClassifier_0
39,0,4,1.0,RandomForestClassifier_0
40,0,0,1.0,RPT_RandomForestClassifier_0
41,0,1,1.0,RPT_RandomForestClassifier_0
42,0,2,1.0,RPT_RandomForestClassifier_0
43,0,3,1.0,RPT_RandomForestClassifier_0
