,Fold,Epoch,Training Accuracy,Model
0,0,0,0.4422930766168434,Pareto
1,0,1,0.44305309254098657,Pareto
2,0,2,0.4427997538996055,Pareto
3,0,3,0.44131591328580216,Pareto
4,0,4,0.4433183726654119,Pareto
5,0,0,1.0,Regularized_Selection_0.2
6,0,1,1.0,Regularized_Selection_0.2
7,0,2,1.0,Regularized_Selection_0.2
8,0,3,1.0,Regularized_Selection_0.2
9,0,4,1.0,Regularized_Selection_0.2
10,0,0,1.0,Regularized_Selection_0.5
11,0,1,1.0,Regularized_Selection_0.5
12,0,2,1.0,Regularized_Selection_0.5
13,0,3,1.0,Regularized_Selection_0.5
14,0,4,1.0,Regularized_Selection_0.5
15,0,0,1.0,Regularized_Selection_0.7
16,0,1,1.0,Regularized_Selection_0.7
17,0,2,1.0,Regularized_Selection_0.7
18,0,3,1.0,Regularized_Selection_0.7
19,0,4,1.0,Regularized_Selection_0.7
20,0,0,0.6886106185081973,Decoupled_Classifier_0.2
21,0,1,0.682494299880569,Decoupled_Classifier_0.2
22,0,2,0.6899496941840686,Decoupled_Classifier_0.2
23,0,3,0.6865115269081828,Decoupled_Classifier_0.2
24,0,4,0.684740118720139,Decoupled_Classifier_0.2
25,0,0,0.6896239730737216,Decoupled_Classifier_0.5
26,0,1,0.6379790814664689,Decoupled_Classifier_0.5
27,0,2,0.6899496941840686,Decoupled_Classifier_0.5
28,0,3,0.6859686583909377,Decoupled_Classifier_0.5
29,0,4,0.6889025626176343,Decoupled_Classifier_0.5
30,0,0,0.6481488183561941,Decoupled_Classifier_0.7
31,0,1,0.6420324997285657,Decoupled_Classifier_0.7
32,0,2,0.6503564836596576,Decoupled_Classifier_0.7
33,0,3,0.6484021569975752,Decoupled_Classifier_0.7
34,0,4,0.6452511944404228,Decoupled_Classifier_0.7
35,0,0,0.9998914262965509,RandomForestClassifier_0
36,0,1,0.999855235062068,RandomForestClassifier_0
37,0,2,0.9997104701241359,RandomForestClassifier_0
38,0,3,0.9998914262965509,RandomForestClassifier_0
39,0,4,0.9998190241783698,RandomForestClassifier_0
40,0,0,0.999855235062068,RPT_RandomForestClassifier_0
41,0,1,0.9998914262965509,RPT_RandomForestClassifier_0
42,0,2,0.9998914262965509,RPT_RandomForestClassifier_0
43,0,3,0.9997466613586189,RPT_RandomForestClassifier_0
44,0,4,0.9999638048356739,RPT_RandomForestClassifier_0
45,0,0,0.999782852593102,Massage_RandomForestClassifier_0
46,0,1,0.9999638087655169,Massage_RandomForestClassifier_0
47,0,2,0.9998190438275849,Massage_RandomForestClassifier_0
48,0,3,0.9998914262965509,Massage_RandomForestClassifier_0
49,0,4,0.9998914145070219,Massage_RandomForestClassifier_0
50,0,0,1.0,RandomForestClassifier_1
51,0,1,0.9999638087655169,RandomForestClassifier_1
52,0,2,1.0,RandomForestClassifier_1
53,0,3,1.0,RandomForestClassifier_1
54,0,4,1.0,RandomForestClassifier_1
55,0,0,0.9999638087655169,RPT_RandomForestClassifier_1
56,0,1,1.0,RPT_RandomForestClassifier_1
57,0,2,1.0,RPT_RandomForestClassifier_1
58,0,3,1.0,RPT_RandomForestClassifier_1
59,0,4,1.0,RPT_RandomForestClassifier_1
60,0,0,1.0,Massage_RandomForestClassifier_1
61,0,1,1.0,Massage_RandomForestClassifier_1
62,0,2,1.0,Massage_RandomForestClassifier_1
63,0,3,1.0,Massage_RandomForestClassifier_1
64,0,4,1.0,Massage_RandomForestClassifier_1
65,0,0,1.0,RandomForestClassifier_2
66,0,1,1.0,RandomForestClassifier_2
67,0,2,1.0,RandomForestClassifier_2
68,0,3,1.0,RandomForestClassifier_2
69,0,4,1.0,RandomForestClassifier_2
70,0,0,1.0,RPT_RandomForestClassifier_2
71,0,1,1.0,RPT_RandomForestClassifier_2
72,0,2,1.0,RPT_RandomForestClassifier_2
73,0,3,1.0,RPT_RandomForestClassifier_2
74,0,4,1.0,RPT_RandomForestClassifier_2
75,0,0,1.0,Massage_RandomForestClassifier_2
76,0,1,1.0,Massage_RandomForestClassifier_2
77,0,2,1.0,Massage_RandomForestClassifier_2
78,0,3,1.0,Massage_RandomForestClassifier_2
79,0,4,1.0,Massage_RandomForestClassifier_2
80,0,0,0.7266476059498389,XGBClassifier_3
81,0,1,0.7196988889291014,XGBClassifier_3
