Fold,Validation Accuracy,Model,Validation Positive Parity,Training Accuracy,Validation Accuracy Parity,Validation Counterfactual Invariance,Validation Recall Parity,Validation TNR Parity
0,0.5325977933801405,Pareto,0.0,0.5200400801603207,0.1251249886373965,1.0,0.0,0.0
1,0.5436308926780341,Pareto,0.0,0.5172845691382766,0.1401836245970782,1.0,0.0,0.0
2,0.5025075225677031,Pareto,0.0,0.5275551102204409,0.1219908157079627,1.0,0.0,0.0
3,0.5095285857572718,Pareto,0.0,0.5258016032064128,0.124404613725002,1.0,0.0,0.0
4,0.5244755244755245,Pareto,0.0,0.5220661985957874,0.1684113865932048,1.0,0.0,0.0
0,0.99197592778335,Regularized_Selection_0.2,1.3432354634427173,1.0,0.0138169257340241,1.0,1.0033333333333334,0.0033222591362126
1,0.9849548645937812,Regularized_Selection_0.2,1.4020319303338171,1.0,0.0133368135829169,0.9989969909729188,1.0002164970772895,0.0002150537634408
2,0.9869608826479438,Regularized_Selection_0.2,1.2951345795842384,1.0,0.0097655763433895,1.0,1.0036657681940702,0.0036315086782376
3,0.9859578736208626,Regularized_Selection_0.2,1.2925019425019426,1.0,0.0073852792299394,1.0,1.0063492063492063,0.0063091482649841
4,0.99000999000999,Regularized_Selection_0.2,1.4661818181818185,1.0,0.0081726354453627,1.0,1.0,0.0
0,0.99197592778335,Regularized_Selection_0.5,1.3432354634427173,1.0,0.0138169257340241,1.0,1.0033333333333334,0.0033222591362126
1,0.9849548645937812,Regularized_Selection_0.5,1.4202401372212694,1.0,0.0133368135829169,0.9989969909729188,1.006318082788671,0.0062365591397849
2,0.9869608826479438,Regularized_Selection_0.5,1.2985275475377864,1.0,0.0139051510093586,1.0,1.006831906264083,0.0067467734757454
3,0.9869608826479438,Regularized_Selection_0.5,1.2965034965034967,1.0,0.0056758775205376,1.0,1.0031645569620251,0.003154574132492
4,0.99000999000999,Regularized_Selection_0.5,1.4661818181818185,1.0,0.0081726354453627,1.0,1.0,0.0
0,0.9929789368104311,Regularized_Selection_0.7,1.338860103626943,1.0,0.0120898100172711,1.0,1.0033333333333334,0.0033222591362126
1,0.9829488465396188,Regularized_Selection_0.7,1.3795326173646087,1.0,0.0208980701187427,0.9979939819458375,1.0169491525423728,0.0166666666666667
2,0.9849548645937812,Regularized_Selection_0.7,1.2905119453924914,1.0,0.0173181202926351,0.9989969909729188,1.0132244897959184,0.012977303070761
3,0.9869608826479438,Regularized_Selection_0.7,1.2965034965034967,1.0,0.0056758775205376,1.0,1.0031645569620251,0.003154574132492
4,0.991008991008991,Regularized_Selection_0.7,1.461818181818182,1.0,0.0065197428833791,1.0,1.0,0.0
0,0.9909729187562688,Decoupled_Classifier_0.2,1.338860103626943,0.996993987975952,0.0155440414507772,1.0,1.0066889632107023,0.0066445182724252
1,0.9849548645937812,Decoupled_Classifier_0.2,1.366306967453373,0.9902304609218436,0.0133368135829169,0.9909729187562688,1.0135135135135136,0.0133333333333333
2,0.9869608826479438,Decoupled_Classifier_0.2,1.2712244027303754,0.9919839679358716,0.0097655763433895,0.9929789368104311,1.0132244897959184,0.012977303070761
3,0.9859578736208626,Decoupled_Classifier_0.2,1.3005050505050506,0.9902304609218436,0.0073852792299394,0.9989969909729188,1.0031645569620251,0.003154574132492
4,0.988011988011988,Decoupled_Classifier_0.2,1.443467790487658,0.990220661985958,0.0073002754820936,0.994005994005994,1.0061349693251531,0.0060975609756097
0,0.9899699097291876,Decoupled_Classifier_0.5,1.3432354634427173,0.996743486973948,0.0090322367388088,1.0,1.0027550441617372,0.0027383469243934
1,0.9839518555667,Decoupled_Classifier_0.5,1.3577138418719052,0.9902304609218436,0.0109213546457188,0.9809428284854564,1.0135135135135136,0.0133333333333333
2,0.9869608826479438,Decoupled_Classifier_0.5,1.2712244027303754,0.9919839679358716,0.0097655763433895,0.99197592778335,1.0132244897959184,0.012977303070761
3,0.9859578736208626,Decoupled_Classifier_0.5,1.3005050505050506,0.9902304609218436,0.0073852792299394,0.9989969909729188,1.0031645569620251,0.003154574132492
