Fold,Validation Accuracy,Model,Validation Positive Parity,Training Accuracy,Validation Accuracy Parity,Validation Counterfactual Invariance,Validation Recall Parity,Validation TNR Parity
0,0.4436079339800203,Pareto,0.0,0.4422930766168434,0.1858437255383444,1.0,0.0,0.0
1,0.4405675401766324,Pareto,0.0,0.4430530925409865,0.179203442255914,1.0,0.0,0.0
2,0.4415810047777617,Pareto,0.0,0.4427997538996055,0.181836997895107,1.0,0.0,0.0
3,0.4475170117272332,Pareto,0.0,0.4413159132858021,0.1898319233716833,1.0,0.0,0.0
4,0.4395079594790159,Pareto,0.0,0.4433183726654119,0.1772399070909766,1.0,0.0,0.0
0,0.6125669610540032,Regularized_Selection_0.2,2.023033483925996,1.0,0.0353981583444049,0.5769509193571739,1.7878445693514184,0.3474027515991629
1,0.6198059939192124,Regularized_Selection_0.2,2.1739980759404056,1.0,0.0216636485709632,0.5569711886491965,1.8231838365122888,0.3626243910038056
2,0.6182134066888664,Regularized_Selection_0.2,1.9852620652183604,1.0,0.0421741617884228,0.5925872303460258,1.766652932060408,0.3443153655050062
3,0.6228463877226003,Regularized_Selection_0.2,2.151661400188998,1.0,0.041878921053842,0.5759374547560446,1.895975933418886,0.3788025304487294
4,0.6182344428364689,Regularized_Selection_0.2,2.1131794065948224,1.0,0.0161589274211716,0.5742402315484805,1.7678207434799726,0.34153337988672
0,0.6161864774866078,Regularized_Selection_0.5,2.000572782129197,1.0,0.035935472313728,0.5799913131605617,1.7598030821917807,0.3424464595793942
1,0.6171999420877371,Regularized_Selection_0.5,2.1335097099513285,1.0,0.032101607937118,0.55190386564355,1.8429547918967943,0.3650093632650643
2,0.6125669610540032,Regularized_Selection_0.5,1.9474637143450773,1.0,0.0464069672811875,0.5807152164470827,1.7688322370504488,0.3410417334703871
3,0.6269002461271174,Regularized_Selection_0.5,2.114753904587792,1.0,0.0289339372350718,0.5788330679021283,1.8010288320728176,0.3562077829370908
4,0.6176555716353112,Regularized_Selection_0.5,2.074942325037506,1.0,0.0187543432112633,0.5665701881331404,1.7511131450056896,0.3365643600571942
0,0.6086578833067902,Regularized_Selection_0.7,2.017790955462035,1.0,0.0391625794274289,0.5743448675256986,1.8104392123287671,0.3512195936419359
1,0.6134356449978283,Regularized_Selection_0.7,2.1065189514706595,1.0,0.0354458827248828,0.5600115824525843,1.8451582425564663,0.3650576331728359
2,0.6251628782394673,Regularized_Selection_0.7,2.004988679094863,1.0,0.0411819429668652,0.579412190531345,1.760617148331998,0.3449701668319903
3,0.6189373099753873,Regularized_Selection_0.7,2.138581510625308,1.0,0.0375337482526533,0.579412190531345,1.8789077065673263,0.3735117088150302
4,0.6099855282199711,Regularized_Selection_0.7,2.058214014877944,1.0,0.0207680860043091,0.5739507959479015,1.767493667564813,0.3371939391924096
0,0.5524829882727668,Decoupled_Classifier_0.2,1.2523695526139795,0.6886106185081973,0.053939055448731,1.0,1.1126575342465754,0.0488223333679633
1,0.5576950919357174,Decoupled_Classifier_0.2,1.2730060801556815,0.682494299880569,0.047365319071745,0.7566237150716665,1.143358469283312,0.0602320685520453
2,0.5743448675256986,Decoupled_Classifier_0.2,1.243718781229063,0.6899496941840686,0.0221509875256264,0.7796438395830317,1.1588637616929571,0.0704694341138006
3,0.5697118864919647,Decoupled_Classifier_0.2,1.2817587425573782,0.6865115269081828,0.0314432752586619,1.0,1.1876597711985786,0.0781059288668782
4,0.5509406657018814,Decoupled_Classifier_0.2,1.2606790215111638,0.684740118720139,0.0694310908877444,1.0,1.0818760628598356,0.0354348862213059
0,0.5546546981323295,Decoupled_Classifier_0.5,1.2384311588201853,0.6896239730737216,0.0393141720979234,1.0,1.1434993451559234,0.0601671143828195
1,0.5555233820761546,Decoupled_Classifier_0.5,1.1644582129956471,0.6379790814664689,0.0674348878273886,0.7540176632401911,1.014414270539186,0.0065350872862547
2,0.5740553062110902,Decoupled_Classifier_0.5,1.2371814945997386,0.6899496941840686,0.0211958776879952,0.7738526132908643,1.1559810160171038,0.0693632394235351
3,0.5688432025481396,Decoupled_Classifier_0.5,1.2975912815956911,0.6859686583909377,0.0367467113238982,1.0,1.1853680191457294,0.0773551098516132
4,0.5538350217076701,Decoupled_Classifier_0.5,1.2518436712788872,0.6889025626176343,0.0625374825081629,1.0,1.0880704868154158,0.0385007592635697
0,0.5563920660199797,Decoupled_Classifier_0.7,1.1781714927118316,0.6481488183561941,0.052980954607958,0.7606775734761836,1.0559435179670438,0.0250927588714584
1,0.5530621109019835,Decoupled_Classifier_0.7,1.1767898430878856,0.6420324997285657,0.0710018202654917,0.7621253800492255,1.0159193362224788,0.0072174482552073
2,0.5694223251773564,Decoupled_Classifier_0.7,1.2519058643052536,0.6503564836596576,0.0319564908077871,0.7747212972346894,1.1434386242552463,0.0641031019901764
3,0.573910525553786,Decoupled_Classifier_0.7,1.2922519806548094,0.6484021569975752,0.0300420844511284,0.7839872593021572,1.188478898258782,0.0803048098824383
4,0.549493487698987,Decoupled_Classifier_0.7,1.2284750014730343,0.6452511944404228,0.0721926989627061,0.7610709117221418,1.0517241379310345,0.0228942905596382
0,0.6083683219921818,RandomForestClassifier_0,1.9436198654914705,0.9998914262965508,0.0475121904144594,0.5765165773852613,1.7854294059372118,0.3412320604342599
1,0.6103952511944404,RandomForestClassifier_0,2.131804199969869,0.999855235062068,0.0378085822372116,0.5458230780367743,1.8933921758896168,0.3686559353885343
2,0.6225568264079919,RandomForestClassifier_0,1.976763679283296,0.999710470124136,0.0367567462446006,0.5854929781381207,1.7342340514846697,0.3321921759482631
3,0.6177790647169538,RandomForestClassifier_0,2.133969051502502,0.9998914262965508,0.0203657987040982,0.5616041696829304,1.814374592361132,0.3514387616542014
4,0.6117221418234443,RandomForestClassifier_0,2.072125342303897,0.9998190241783698,0.0088706619450604,0.5672937771345875,1.7339401748549168,0.3232545251000344
0,0.6148834515708701,RPT_RandomForestClassifier_0,1.9202676264400909,0.999855235062068,0.042137683261571,0.5911394237729839,1.708509137644588,0.3354479882455958
1,0.599826263211235,RPT_RandomForestClassifier_0,1.401933663781821,0.9998914262965508,0.025876209794467,0.6189373099753873,1.2799678873635605,0.1572381275225141
