Fold,Training Accuracy,Model,Validation Accuracy,Validation Recall Parity,Validation Positive Parity,Validation Accuracy Parity,Validation TNR Parity,Validation Counterfactual Invariance
0,0.999636393018746,RandomForestClassifier_50,0.8531027795733678,1.3875262789067975,2.4372375370346515,0.05112055050786235,0.17223390173635444,0.9487718164188752
1,0.999636393018746,RandomForestClassifier_50,0.8518099547511312,1.1465357337697764,2.3541011061438932,0.07366618945359105,0.07722829212190918,0.9471557853910795
2,0.9994747899159664,RandomForestClassifier_50,0.857950872656755,1.2344637631261834,2.55906000063059,0.06725412181471402,0.12218534134744774,0.943923723335488
3,0.9994747899159664,RandomForestClassifier_50,0.8550420168067226,1.215821248323005,2.2127511123593844,0.05763420171732192,0.10915097616335889,0.9469941822882999
4,0.9995151906916613,RandomForestClassifier_50,0.8577892695539754,1.0204745272792968,2.266741720450437,0.08114304299521313,0.012727408849292576,0.9478021978021978
0,1.0,RandomForestClassifier_100,0.8550420168067226,1.365366768310006,2.5047430117222724,0.05416309650856066,0.16689593120333607,0.9541047188106012
1,0.9999595992243051,RandomForestClassifier_100,0.8535875888817065,1.0401031592520953,2.2970140096124347,0.0846170365068003,0.023845121717462114,0.9458629605688429
2,0.9999191984486102,RandomForestClassifier_100,0.8569812540400775,1.278524809310372,2.544367861904042,0.06271398111207138,0.14122384697427315,0.9434389140271493
3,1.0,RandomForestClassifier_100,0.8582740788623141,1.207823846334036,2.3113447754122665,0.06096955911410529,0.10749509293139792,0.9552359405300582
4,0.9999191984486102,RandomForestClassifier_100,0.8577892695539754,1.0034301259684193,2.189810225868699,0.08114304299521313,0.0021711462154675454,0.9466709760827408
0,1.0,RandomForestClassifier_200,0.8553652230122818,1.4080238262088296,2.5089597507992463,0.050331305997725395,0.18134392275947986,0.9518422753716871
1,0.9999595992243051,RandomForestClassifier_200,0.8532643826761473,1.1110880470506832,2.507473998905217,0.08312932474349799,0.06154878282537857,0.9539431157078216
2,0.9999595992243051,RandomForestClassifier_200,0.8545572074983839,1.3093114952987563,2.504330149911846,0.0597818446974403,0.15247749768248553,0.946186166774402
