Fold,Epoch,Training Accuracy,Model,Validation Accuracy,Validation Recall Parity,Validation Positive Parity,Validation Accuracy Parity,Validation TNR Parity,Validation Counterfactual Invariance
0,0,1.0,RandomForestClassifier_0,0.775,1.0685714285714285,1.0214810627473148,0.030074301214765953,0.03116883116883118,0.98
0,1,1.0,RandomForestClassifier_0,0.78,1.40625,1.2464516129032257,0.03833567087424028,0.16249999999999998,0.92
0,2,1.0,RandomForestClassifier_0,0.735,2.3466666666666662,2.076923076923077,0.07350427350427347,0.2754545454545454,0.95
0,3,0.99875,RandomForestClassifier_0,0.74,1.4933333333333334,1.9850746268656716,0.0803501290539782,0.15416666666666667,0.945
0,4,1.0,RandomForestClassifier_0,0.755,1.25,1.2693602693602692,0.011912225705329238,0.09999999999999998,0.945
0,0,1.0,RandomForestClassifier_1,0.77,1.4772727272727273,1.4899117276166456,0.02429531784408534,0.19090909090909092,0.965
0,1,1.0,RandomForestClassifier_1,0.785,1.23046875,1.0022296544035674,0.05446470313230489,0.10535714285714287,0.94
0,2,1.0,RandomForestClassifier_1,0.705,2.262857142857143,1.7307692307692308,0.04957264957264962,0.2009090909090909,0.94
0,3,1.0,RandomForestClassifier_1,0.75,1.4545454545454546,1.7960199004975124,0.05049938278532151,0.15625,0.955
0,4,1.0,RandomForestClassifier_1,0.775,1.1851851851851851,1.013986013986014,0.040752351097178674,0.06944444444444442,0.945
0,0,1.0,RandomForestClassifier_2,0.75,1.0476190476190474,1.0579625292740047,0.0412784526477179,0.01948051948051943,0.975
0,1,1.0,RandomForestClassifier_2,0.8,1.4583333333333335,1.2464516129032257,0.056100981767180924,0.19642857142857145,0.96
0,2,1.0,RandomForestClassifier_2,0.745,1.9360000000000002,2.076923076923077,0.03589743589743599,0.21272727272727274,0.95
0,3,1.0,RandomForestClassifier_2,0.76,1.6484848484848484,1.9850746268656718,0.02064863651666471,0.22291666666666665,0.965
0,4,1.0,RandomForestClassifier_2,0.76,1.25,1.476363636363636,0.02006269592476484,0.09999999999999998,0.92
0,0,0.99875,XGBClassifier_3,0.775,1.1722488038277512,1.5665983606557377,0.05366198844203318,0.09350649350649354,0.965
0,1,0.9975,XGBClassifier_3,0.78,1.1513157894736843,1.1873706004140787,0.08508648901355775,0.08214285714285718,0.98
0,2,1.0,XGBClassifier_3,0.735,1.4892307692307691,1.8325791855203624,0.017663817663817638,0.14454545454545453,0.935
0,3,0.99875,XGBClassifier_3,0.72,1.2952380952380953,1.720398009950249,0.07271911121086294,0.12916666666666665,0.97
0,4,0.99875,XGBClassifier_3,0.775,1.168253968253968,1.1055718475073313,0.0658307210031348,0.07361111111111107,0.98
