Fold,Training Accuracy,Model,Validation Accuracy,Validation Recall Parity,Validation Positive Parity,Validation Accuracy Parity,Validation TNR Parity,Validation Counterfactual Invariance
0,0.9997104701241359,RandomForestClassifier_50,0.6245837556102505,1.7182862480749326,2.025273670378311,0.022399531513066395,0.3261277247425422,0.5938902562617634
1,0.9998914262965509,RandomForestClassifier_50,0.6067757347618358,1.7221215740006093,1.8640112378967433,0.047290957267882794,0.32043670265852486,0.5671058346604894
2,0.9998190438275849,RandomForestClassifier_50,0.6199507745765166,1.7116573731688518,1.9427243632811415,0.03633411920826213,0.32449037416506177,0.5614593890256262
3,0.9998914262965509,RandomForestClassifier_50,0.6161864774866078,1.8625724589696309,2.08371523458279,0.04349391166432548,0.3630029142956976,0.5750687708122195
4,0.9998914145070219,RandomForestClassifier_50,0.6143270622286541,1.787579701283955,2.0671611404811236,0.02795798882227496,0.3467943540633053,0.5555716353111433
0,1.0,RandomForestClassifier_100,0.6242941942956421,1.7020836610560535,1.981706217685271,0.02939394383036864,0.3274291513445272,0.5991023599247141
1,1.0,RandomForestClassifier_100,0.6119878384247864,1.8023524116423604,1.9530577342221234,0.05482233802102088,0.3518201426444419,0.579412190531345
2,1.0,RandomForestClassifier_100,0.6245837556102505,1.7056753642108435,1.9599108808923074,0.03626050477904874,0.32962985240172066,0.5815839003909078
3,1.0,RandomForestClassifier_100,0.6192268712899957,1.86823171144007,2.087615962751329,0.04795156396744582,0.3715925302281811,0.5714492543796149
4,1.0,RandomForestClassifier_100,0.6189580318379161,1.708804722085588,2.0080020943923333,0.02253158248009668,0.3325256720895351,0.5657018813314038
0,1.0,RandomForestClassifier_200,0.6308093238743304,1.6166239274623733,1.936625386996904,0.019991899080106346,0.3048555515817339,0.6008397278123643
1,1.0,RandomForestClassifier_200,0.610105689879832,1.8082567033344792,1.961517412539574,0.0534613742812573,0.35355918884031895,0.5867960040538585
2,1.0,RandomForestClassifier_200,0.625018097582163,1.7184940325332876,1.9766807215051698,0.03688917200453068,0.3348166171671284,0.5770957000144781
3,1.0,RandomForestClassifier_200,0.6225568264079919,1.8511980123717708,2.1264710811203344,0.03881326075197411,0.3703885120228543,0.579412190531345
4,1.0,RandomForestClassifier_200,0.6261939218523879,1.7261275904104023,2.082155256094392,0.01751234222192144,0.34364062920656896,0.5639652677279305
0,0.7190474467084073,XGBClassifier_50,0.6434052410597945,1.8665358131050165,2.3005644071267666,0.03224048995925144,0.4109244943311905,0.6296510786158969
1,0.7228837175636061,XGBClassifier_50,0.6331258143911973,2.1352503695211507,2.4718274500559847,0.05887159119745533,0.47391629516287787,0.5960619661213262
2,0.7137635264738881,XGBClassifier_50,0.6442739250036195,1.9825258397132801,2.3424498266799385,0.05662480786633983,0.4501874248853491,0.6015636310988852
3,0.7274438131084652,XGBClassifier_50,0.6370348921384104,2.009487482097376,2.418820136318911,0.041346184703552,0.4464842489766738,0.6099609092225279
4,0.7169176198059939,XGBClassifier_50,0.6448625180897251,2.0968242016211187,2.647250618497721,0.03314339738872518,0.4761932233375639,0.5670043415340087
0,0.7595454380948934,XGBClassifier_100,0.64152309251484,1.8711294205203692,2.2156601271817076,0.04635697728326382,0.40431343060026104,0.6478934414362241
1,0.7627664579638811,XGBClassifier_100,0.6325466917619806,2.094565298130391,2.374043510008229,0.06482827877478836,0.4580830585235494,0.6202403358911249
2,0.7603054540190366,XGBClassifier_100,0.6422469958013609,1.83619705709967,2.1527711003296455,0.0523351478472196,0.39992033165636387,0.6503547126103952
3,0.7677246570880533,XGBClassifier_100,0.6326914724192848,1.9504161005024154,2.282577696754779,0.04632803356404558,0.42132848582027405,0.6393513826552772
4,0.7635731866222673,XGBClassifier_100,0.6403762662807525,2.0006114071097914,2.4779074810102246,0.03202964966230515,0.4405984385215953,0.6028943560057887
0,0.8242553653505121,XGBClassifier_200,0.6299406399305053,1.7939495371126857,2.085902711323764,0.04030100285484228,0.36760219599499905,0.6930650065151296
1,0.8259925446056965,XGBClassifier_200,0.6227016070652961,1.853294051002474,2.0682445990948684,0.054678441948803336,0.38223266637965714,0.6610684812509049
2,0.8248706163367232,XGBClassifier_200,0.6341392789923266,1.7672375518902481,2.0742652451802175,0.04060002630488935,0.36608436143704143,0.6858259736499204
3,0.8303716839781405,XGBClassifier_200,0.6261763428405965,1.83735887700083,2.120655938565544,0.0414494194303221,0.3789070301444001,0.6755465469813233
4,0.8319458520341683,XGBClassifier_200,0.630246020260492,1.8881065164511588,2.2264923611328933,0.03892158037881499,0.40019614630206535,0.6393632416787265
0,0.8350765444609316,Pareto,0.6413783118575358,1.6279877740396242,1.9244270613107823,0.04884298367615847,0.349194995430105,0.6546981323295208
1,0.8445586478954797,Pareto,0.6300854205878095,2.0076329940055153,2.3037753155060834,0.05515763652422634,0.43547545797714693,0.6095265672506153
2,0.8449205602403098,Pareto,0.6413783118575358,1.8830616814114751,2.28110099099764,0.0381969568776489,0.4115047746153808,0.6251628782394673
3,0.7835402265571279,Pareto,0.6373244534530187,1.9927373596051456,2.3902363035038108,0.04177072301813489,0.4380618379462951,0.6189373099753873
4,0.7949181989286231,Pareto,0.6424023154848046,1.8682124689459363,2.2689569851092313,0.03767155705566161,0.4233875620168455,0.604630969609262
0,1.0,Regularized_Selection_0.2,0.6258867815259881,1.6547574216285872,1.9339869551178561,0.028339067418197805,0.3149001500881883,0.5983784566381931
1,0.9998190438275849,Regularized_Selection_0.2,0.6080787606775735,1.7746893876147916,1.893551936270491,0.05596731011718237,0.33643187916394207,0.5710149124077023
2,0.9998190438275849,Regularized_Selection_0.2,0.6199507745765166,1.705111348816812,1.9762663778604221,0.026165021956730428,0.31993346596258915,0.5692775445200521
3,1.0,Regularized_Selection_0.2,0.617923845374258,1.882942197356921,2.1183342358005515,0.04537349898833831,0.3778884378882021,0.5818734617055161
4,0.8319458520341683,Regularized_Selection_0.2,0.630246020260492,1.8881065164511588,2.2264923611328933,0.03892158037881499,0.40019614630206535,0.6393632416787265
0,1.0,Regularized_Selection_0.5,0.6258867815259881,1.6547574216285872,1.9339869551178561,0.028339067418197805,0.3149001500881883,0.5983784566381931
1,0.9998190438275849,Regularized_Selection_0.5,0.6080787606775735,1.7746893876147916,1.893551936270491,0.05596731011718237,0.33643187916394207,0.5710149124077023
2,0.9998190438275849,Regularized_Selection_0.5,0.6199507745765166,1.705111348816812,1.9762663778604221,0.026165021956730428,0.31993346596258915,0.5692775445200521
3,1.0,Regularized_Selection_0.5,0.617923845374258,1.882942197356921,2.1183342358005515,0.04537349898833831,0.3778884378882021,0.5818734617055161
4,0.8319458520341683,Regularized_Selection_0.5,0.630246020260492,1.8881065164511588,2.2264923611328933,0.03892158037881499,0.40019614630206535,0.6393632416787265
0,1.0,Regularized_Selection_0.7,0.6258867815259881,1.6547574216285872,1.9339869551178561,0.028339067418197805,0.3149001500881883,0.5983784566381931
1,0.9998190438275849,Regularized_Selection_0.7,0.6080787606775735,1.7746893876147916,1.893551936270491,0.05596731011718237,0.33643187916394207,0.5710149124077023
2,0.9998190438275849,Regularized_Selection_0.7,0.6199507745765166,1.705111348816812,1.9762663778604221,0.026165021956730428,0.31993346596258915,0.5692775445200521
3,1.0,Regularized_Selection_0.7,0.617923845374258,1.882942197356921,2.1183342358005515,0.04537349898833831,0.3778884378882021,0.5818734617055161
4,0.8319458520341683,Regularized_Selection_0.7,0.630246020260492,1.8881065164511588,2.2264923611328933,0.03892158037881499,0.40019614630206535,0.6393632416787265
0,0.7029785385979516,Decoupled_Classifier_0.2,0.6028666570146228,1.0152294935532478,1.01906567580395,0.14587121489398036,0.012898872351677082,0.919791515853482
1,0.6908544750461438,Decoupled_Classifier_0.2,0.5576950919357174,1.166865208349642,1.2542994952513782,0.028385000186878062,0.07088700754285532,0.8597075430722455
2,0.6832543158047121,Decoupled_Classifier_0.2,0.5626176342840596,1.1295611071987013,1.277953189830445,0.05003965363920293,0.05748642214613503,0.8646300854205878
3,0.6921573594875321,Decoupled_Classifier_0.2,0.5611698277110178,1.1337788332320833,1.2839269509173874,0.05052121937611431,0.05711905239122661,0.7692196322571304
4,0.6854278268423338,Decoupled_Classifier_0.2,0.5693198263386396,1.0790879867157728,1.236349212913494,0.054267580211376565,0.03571978000846121,1.0
0,0.6660996706597662,Decoupled_Classifier_0.5,0.6093817865933111,1.0250331277678684,1.0228621758477827,0.15534489910450677,0.021525122195016788,0.9691617199942087
1,0.6908544750461438,Decoupled_Classifier_0.5,0.5576950919357174,1.166865208349642,1.2542994952513782,0.028385000186878062,0.07088700754285532,0.8597075430722455
2,0.6832543158047121,Decoupled_Classifier_0.5,0.5626176342840596,1.1295611071987013,1.277953189830445,0.05003965363920293,0.05748642214613503,0.8646300854205878
3,0.6879229850530202,Decoupled_Classifier_0.5,0.5650789054582308,1.1731006424771266,1.3270999331850772,0.04478995212924519,0.07390813948461589,0.8275662371507166
4,0.6685970754307224,Decoupled_Classifier_0.5,0.5539797395079595,1.0662103461892851,1.1305349672391067,0.03198930427058411,0.029018114687896612,0.8263386396526773
0,0.6660996706597662,Decoupled_Classifier_0.7,0.6093817865933111,1.0250331277678684,1.0228621758477827,0.15534489910450677,0.021525122195016788,0.9691617199942087
1,0.625493105569831,Decoupled_Classifier_0.7,0.5600115824525843,1.1934520105652036,1.3133662304848224,0.03590733210977415,0.08035072994033166,0.8238019400608079
2,0.6159748109007999,Decoupled_Classifier_0.7,0.5587085565368467,1.179961471561898,1.2898490306932282,0.03739328361578376,0.07643848457645835,0.8285797017518459
3,0.6264702689008722,Decoupled_Classifier_0.7,0.5663819313739684,1.1873028294320556,1.3618311986541085,0.04888831278498296,0.07901539178287942,0.8992326625162879
4,0.6162950629795859,Decoupled_Classifier_0.7,0.5591895803183792,1.1024407948462027,1.2299226566667205,0.04872570594422432,0.04342140686896656,0.8289435600578872
0,0.999927617531034,RPT_RandomForestClassifier_50,0.625018097582163,1.5338983924230847,1.804511792594371,0.023031110460434823,0.27712438978911236,0.5993919212393224
1,0.9998190438275849,RPT_RandomForestClassifier_50,0.5957724048067178,1.2370953358897632,1.3001864913329348,0.03886423410504114,0.1351268896448492,0.6279137107282468
2,0.9996018964206869,RPT_RandomForestClassifier_50,0.6232807296945128,1.6023775590996492,1.8289607975536306,0.038442142003215496,0.3021960998827672,0.584913855508904
3,0.999782852593102,RPT_RandomForestClassifier_50,0.6174895034023454,1.752288998876394,1.9504407378029025,0.04740726177040211,0.3473285265496732,0.5889677139134212
4,0.999167511220501,RPT_RandomForestClassifier_50,0.6272069464544139,2.2710280373831777,2.7989741157836616,0.033158832187494935,0.48644282912195685,0.4821997105643994
0,0.969165068220477,Massage_RandomForestClassifier_50_0.2,0.6190820906326915,1.6470307939722437,1.8779560192828368,0.029230461410828856,0.2988527882472696,0.592008107716809
1,0.9999638087655169,Massage_RandomForestClassifier_50_0.2,0.6070652960764442,1.7588580817484687,1.88382006244292,0.05246482267243435,0.329556664313478,0.5837556102504705
2,0.9996380876551699,Massage_RandomForestClassifier_50_0.2,0.6132908643405242,1.6759089292357758,1.8758984638070975,0.03754159215250552,0.31271148899982937,0.5715940350369191
